,gender,exhaust_volume,motorcycle_style,passenger_on_backseat,helmet,height,weight,age,purchase_price,monthly_mileage,traffic_ticket_count,speeding_habbit,has_license,has_modifications,is_noisy_engine,is_mountain_ride,has_regular_maintenance,commute_with_motorcycle,class
17,man,125,Limi,seldom,1,169.131,48.541,31.458,54,207,9,1,1,0,0,0,0,1,low_risk
18,man,125,FORCE,seldom,2,171.151,85.185,20.716,122,269,1,23,1,0,0,0,0,1,low_risk
19,woman,100,duke,sometimes,2,148.856,32.693,55.812,68,650,4,22,0,0,0,0,0,1,high_risk
20,woman,125,Many,sometimes,2,165.088,37.741,22.68,125,267,6,11,1,0,0,0,1,0,low_risk
21,woman,150,Limi,sometimes,2,152.232,53.462,31.266,90,955,7,6,1,0,0,0,1,1,low_risk
22,woman,100,POG,sometimes,2,162.519,61.967,22.089,47,319,5,4,1,0,1,0,0,1,low_risk
23,woman,150,GP,usually,3,155.603,62.259,25.294,55,354,0,24,1,0,1,1,0,1,low_risk
24,man,125,POG,sometimes,2,152.71,54.021,41.682,102,413,10,1,1,0,1,0,0,1,low_risk
25,man,125,Fiddle,usually,2,165.145,65.985,43.108,68,179,9,5,1,1,1,0,0,1,low_risk
26,man,125,Limi,sometimes,2,179.071,73.818,24.512,71,87,0,10,1,0,0,0,0,1,low_risk
27,woman,125,FORCE,seldom,2,151.722,52.991,31.933,72,404,6,1,1,0,0,1,0,1,low_risk
28,woman,50,DRG,usually,3,164.199,49.609,23.296,109,736,4,1,1,1,1,0,1,0,low_risk
29,woman,50,FORCE,seldom,1,160.914,39.884,29.371,51,749,10,13,1,0,0,1,1,1,low_risk
30,man,50,POG,sometimes,2,166.89,71.208,34.643,96,83,0,21,0,0,0,0,0,0,low_risk
31,woman,125,GP,usually,3,153.515,44.313,32.623,96,409,8,24,1,0,0,0,1,1,low_risk
32,woman,50,famous,seldom,3,158.428,57.193,23.78,62,838,9,8,1,0,1,0,1,1,low_risk
33,woman,125,Fiddle,sometimes,2,162.961,39.808,25.688,48,725,3,16,1,0,0,1,1,1,low_risk
34,man,150,BWS,seldom,2,168.615,75.474,21.177,121,842,0,10,1,0,0,0,0,0,low_risk
35,woman,125,JET,sometimes,2,169.722,62.199,42.267,106,76,0,12,1,0,1,0,1,1,low_risk
36,man,100,duke,sometimes,1,167.369,81.264,30.697,121,540,3,11,1,0,1,1,1,0,low_risk
37,woman,125,Limi,seldom,2,175.514,63.728,40.272,61,654,10,7,1,0,0,0,1,0,low_risk
38,man,50,duke,seldom,2,170.807,62.17,23.287,101,765,8,10,0,0,1,1,0,1,low_risk
39,man,125,famous,seldom,2,177.987,71.553,33.274,65,787,4,23,0,0,0,1,0,1,low_risk
40,man,125,Cuxi,sometimes,2,166.318,62.579,41.429,107,263,3,19,1,0,0,0,0,1,low_risk
41,man,150,Limi,sometimes,2,172.896,62.678,40.783,117,699,7,22,1,1,0,0,1,1,low_risk
42,woman,125,DRG,seldom,2,158.697,60.135,30.863,104,35,0,29,1,0,0,0,1,0,low_risk
43,man,125,BWS,always,2,169.666,58.559,33.207,130,625,0,1,1,0,0,0,1,1,medium_risk
44,woman,125,POG,seldom,2,139.786,47.908,22.651,91,792,2,28,0,1,0,0,1,0,low_risk
45,woman,150,GP,seldom,3,164.328,34.604,24.112,113,450,8,27,1,0,0,1,1,1,low_risk
46,woman,125,FORCE,seldom,3,169.852,60.575,29.512,47,203,2,27,1,0,0,1,1,0,low_risk
47,woman,125,axis Z,sometimes,2,162.403,63.189,24.543,73,100,7,22,1,1,0,0,0,1,low_risk
48,man,150,Limi,sometimes,3,169.9,56.921,21.632,109,812,3,11,1,0,0,0,1,1,low_risk
49,woman,150,JET,always,2,165.171,48.039,29.872,123,610,8,22,1,1,0,0,0,1,low_risk
50,man,125,BWS,never,1,176.246,58.255,39.278,95,528,5,4,1,1,0,0,0,0,low_risk
51,man,125,Fiddle,never,2,180.86,55.177,24.872,89,417,5,16,1,0,0,0,0,1,low_risk
52,man,125,Fiddle,seldom,1,159.599,64.225,37.102,79,688,5,11,1,0,1,0,0,1,low_risk
53,woman,50,cygnus,seldom,3,163.935,28.636,24.595,42,145,3,1,1,1,0,0,1,0,low_risk
54,woman,150,Swish,sometimes,3,158.616,68.477,38.653,76,810,2,6,0,1,0,0,1,0,low_risk
55,woman,125,POG,seldom,3,156.603,51.846,27.934,124,805,3,1,1,0,0,1,0,1,low_risk
56,man,125,FORCE,usually,2,178.722,80.902,35.964,62,773,10,2,1,0,0,0,0,1,low_risk
57,man,100,Many,seldom,3,170.567,62.423,51.649,104,625,2,13,1,1,0,1,0,1,low_risk
58,woman,150,JET,sometimes,3,157.991,84.78,35.089,83,286,10,12,1,0,0,1,0,1,low_risk
59,woman,125,Fiddle,never,2,152.577,46.771,25.595,61,251,3,3,1,1,0,0,0,1,low_risk
60,woman,125,cygnus,always,2,144.846,45.668,21.58,76,162,8,29,1,1,0,0,1,1,low_risk
61,woman,100,Fiddle,sometimes,2,163.55,35.783,30.834,96,463,7,23,1,0,0,0,1,1,low_risk
62,man,125,famous,sometimes,2,161.436,65.543,25.687,43,4,8,13,1,1,0,0,1,1,low_risk
63,man,125,POG,seldom,2,173.378,74.791,35.772,92,40,4,22,1,0,0,1,0,1,low_risk
64,woman,125,duke,sometimes,3,155.993,41.778,33.907,97,555,4,14,1,0,1,1,1,1,low_risk
65,man,150,axis Z,sometimes,3,169.923,65.478,19.836,129,458,2,25,1,1,0,0,0,1,low_risk
66,man,125,Swish,sometimes,3,181.636,72.751,19.301,48,900,6,4,1,0,1,0,1,1,low_risk
67,woman,150,axis Z,seldom,2,162.916,46.826,31.035,61,443,6,28,1,0,0,0,0,1,low_risk
68,woman,125,Fiddle,never,2,161.947,37.659,22.31,60,323,5,20,1,0,0,0,1,1,low_risk
69,man,125,DRG,seldom,2,181.681,71.8,32.256,72,20,10,2,1,0,1,0,1,1,low_risk
70,man,125,cygnus,sometimes,3,166.971,65.912,20.63,81,52,8,8,1,0,0,1,0,1,low_risk
71,man,150,Many,seldom,2,167.364,91.383,29.764,58,248,8,28,1,1,0,1,0,1,low_risk
72,man,125,DRG,sometimes,3,172.315,53.257,19.522,54,862,7,0,1,0,0,0,1,1,low_risk
73,woman,125,DRG,never,2,162.758,68.901,27.486,105,786,8,12,1,1,1,0,0,1,low_risk
74,man,125,Many,seldom,2,177.839,58.594,18.483,92,815,8,10,1,0,1,0,1,1,low_risk
75,man,125,Fiddle,always,3,161.997,75.729,18.074,81,370,9,11,1,0,0,0,0,1,low_risk
76,woman,125,BWS,sometimes,2,150.611,62.543,23.119,96,100,9,11,1,0,0,0,0,1,low_risk
77,woman,125,Limi,seldom,1,163.941,51.777,18.307,56,777,2,0,1,0,0,0,0,1,low_risk
78,woman,125,GP,never,3,156.26,34.416,31.634,71,635,7,5,1,1,0,0,0,1,low_risk
79,man,125,axis Z,usually,2,172.684,75.055,21.77,40,758,8,25,0,1,0,0,1,0,low_risk
80,man,125,famous,sometimes,2,181.799,74.593,29.591,107,931,9,11,1,0,0,0,0,1,low_risk
81,woman,50,DRG,usually,2,167.781,38.605,34.744,129,697,2,0,1,1,0,0,1,1,low_risk
82,man,125,FORCE,always,2,170.92,73.138,27.76,108,858,9,6,1,0,1,0,1,0,low_risk
83,woman,150,POG,sometimes,2,156.288,59.761,44.826,40,620,6,8,1,0,0,0,0,0,low_risk
84,woman,50,Cuxi,sometimes,2,158.753,53.643,47.965,90,348,8,5,1,1,1,0,1,1,low_risk
85,man,50,POG,sometimes,2,159.763,72.12,37.841,56,618,4,14,1,0,1,0,1,1,low_risk
86,woman,125,cygnus,seldom,2,156.83,47.85,25.007,88,692,2,6,1,0,0,0,1,0,low_risk
87,man,125,cygnus,usually,2,178.539,103.214,23.235,104,141,5,15,0,0,0,0,1,0,low_risk
88,man,125,duke,usually,1,177.097,65.206,30.188,98,976,5,26,1,0,0,1,0,1,low_risk
89,man,100,famous,sometimes,2,163.753,63.802,38.243,77,897,10,6,1,1,0,0,0,1,low_risk
90,woman,100,Cuxi,usually,2,159.85,56.36,26.562,98,701,8,8,1,0,0,0,0,1,low_risk
91,woman,150,Limi,seldom,3,156.94,40.849,38.44,128,356,3,10,1,1,0,1,1,1,low_risk
92,man,125,FORCE,seldom,2,180.312,77.191,18.78,42,902,2,13,1,0,0,0,1,0,low_risk
93,man,125,axis Z,sometimes,2,165.704,73.662,22.676,41,453,5,0,1,1,0,1,1,1,low_risk
94,woman,100,axis Z,seldom,3,151.821,48.237,54.107,86,35,4,9,1,0,0,0,1,1,low_risk
95,woman,125,POG,usually,2,175.59,58.328,29.42,55,696,8,8,1,0,1,0,1,0,low_risk
96,man,150,axis Z,sometimes,3,164.563,60.566,18.03,116,595,0,22,1,0,0,1,0,1,low_risk
97,woman,125,Cuxi,usually,2,146.63,53.469,18.248,106,70,10,10,1,1,0,0,1,0,low_risk
98,woman,125,famous,usually,2,158.194,30.591,49.867,109,214,5,6,1,0,0,1,1,1,low_risk
99,woman,125,BWS,seldom,3,158.453,53.92,32.282,85,370,8,8,1,1,1,0,0,1,low_risk
